Name,Price,Kilometers,Fuel
2017 Maruti Suzuki Vitara Brezza VDi (O) [2016-2018],Rs. 7.4 Lakh,"75,787",Diesel
2020 Jeep Compass Limited Plus 2.0 Diesel 4x4 AT,Rs. 12.75 Lakh,"97,000",Diesel
2021 Hyundai Elantra 2.0 SX (O) AT,Rs. 12.75 Lakh,"73,000",Petrol
2018 Mercedes-Benz GLE 250 d,Rs. 27.5 Lakh,"95,000",Diesel
2017 Skoda Superb L&K TSI AT,Rs. 15.5 Lakh,"41,000",Petrol
2018 Skoda Superb Style TSI AT,Rs. 14.9 Lakh,"54,000",Petrol
2018 Skoda Octavia 2.0 TDI L&K,Rs. 15.25 Lakh,"65,000",Diesel
2013 BMW 5-Series 525d Sedan,Rs. 12.5 Lakh,"45,000",Diesel + 1
2013 Porsche Cayenne Diesel,Rs. 19 Lakh,"1,35,000 ",Diesel
2018 Ford Endeavour Titanium 2.2 4x2 AT,Rs. 24.5 Lakh,"89,000",Diesel
2021 Tata Harrier XZA Plus Dark Edition,Rs. 14.9 Lakh,"55,700",Diesel
2016 Porsche Cayenne Diesel,Rs. 42.5 Lakh,"50,000",Diesel
2021 Tata Harrier XZA Plus Camo,Rs. 14.9 Lakh,"58,000",Diesel
2023 Mercedes-Benz A-Class Limousine 200d,Rs. 36.9 Lakh,"8,900",Diesel
2023 Volkswagen Virtus Topline 1.0 TSI AT,Rs. 14.9 Lakh,"24,000",Petrol
2014 Volvo XC60 Summum D5,Rs. 7.5 Lakh,"1,62,700 ",Diesel
2017 Audi A3 35 TDI Premium,Rs. 9.9 Lakh,"74,000",Diesel
2024 Toyota Vellfire VIP – Executive Lounge Hybrid (Electric + Petrol) Automatic,Rs. 1.3 Crore,"31,000",Hybrid (Electric + Petrol)
2015 Honda City V Diesel,Rs. 4.5 Lakh,"58,000",Diesel
2020 Hyundai Creta SX (O) 1.5 Petrol CVT [2020-2022],Rs. 9.9 Lakh,"75,000",Petrol
2015 Hyundai Creta SX Plus 1.6  Petrol,Rs. 6.75 Lakh,"58,000",Petrol
2023 Kia Carens Luxury (O)1.5 Turbo Petrol DCT 7 STR [2023-2024],Rs. 14.5 Lakh,"18,000",Petrol
2024 Audi Q3 40 TFSI Technology [2022-2024],Rs. 37.5 Lakh,"23,000",Petrol
2023 Volkswagen Taigun Topline 1.0 TSI MT,Rs. 11.9 Lakh,"21,500",Petrol
2022 Mahindra Thar LX Convertible Top Diesel AT 4WD,Rs. 12.9 Lakh,"21,000",Diesel
2022 Maruti Suzuki Ciaz Zeta Hybrid  1.5 [2018-2020],Rs. 7 Lakh,"82,000",Petrol
2016 Honda Jazz V Petrol,Rs. 3.9 Lakh,"55,000",Petrol
2021 Jeep Compass Limited (O) 1.4 Petrol AT [2017-2020],Rs. 14.9 Lakh,"51,000",Petrol
2023 Kia Seltos HTX 1.5 Diesel AT,Rs. 16 Lakh,"51,680",Diesel
2018 Audi A6 35 TDI Matrix,Rs. 23.9 Lakh,"69,000",Diesel
2018 Hyundai Creta SX 1.6 CRDi,Rs. 10.5 Lakh,"68,297",Diesel
2015 Maruti Suzuki Ciaz VXi+,Rs. 5.11 Lakh,"76,753",Petrol
2017 Maruti Suzuki Baleno Zeta 1.2 AT,Rs. 5.5 Lakh,"56,051",Petrol
2019 Toyota Innova Crysta 2.4 VX 7 STR [2016-2020],Rs. 16 Lakh,"1,15,757 ",Diesel
2017 Audi Q7 45 TDI Technology Pack,Rs. 34.75 Lakh,"85,000",Diesel
2023 Volvo XC90 B6 Ultimate [2022-2023],Rs. 79.5 Lakh,"14,000",Petrol
2013 BMW 5-Series 520d Sedan,Rs. 8.9 Lakh,"73,000",Diesel
2022 Hyundai Creta EX 1.5 Diesel [2020-2022],Rs. 10.9 Lakh,"58,000",Diesel
2019 Toyota Fortuner 2.8 4x2 AT [2016-2020],Rs. 27 Lakh,"81,000",Diesel
2015 Mercedes-Benz E-Class E 250 CDI Edition E,Rs. 14.9 Lakh,"89,000",Diesel
2018 Volvo XC40 Inscription,Rs. 22.5 Lakh,"93,000",Diesel
2020 BMW X3 xDrive 20d Luxury Line [2018-2020],Rs. 39.9 Lakh,"33,000",Diesel
