o-o,o-j1,o-j5
2023 Lexus LX 500d with Ash Open Pore Sumi Black Trim,"13,000 km  |  Diesel  |  Ashok Vihar, Delhi",Rs. 2.75 Crore
2015 Mini Convertible 1.6,"45,000 km  |  Petrol  |  Ashok Vihar, Delhi",Rs. 23.75 Lakh
2013 Mercedes-Benz M-Class ML 250 CDI,"1,19,000 km  |  Diesel  |  Ashok Vihar, Delhi",Rs. 12.5 Lakh
2019 Volvo S90 D4 Inscription,"47,000 km  |  Diesel  |  Ashok Vihar, Delhi",Rs. 25.75 Lakh
2016 Audi A6 35 TFSI,"59,000 km  |  Petrol  |  Ashok Vihar, Delhi",Rs. 17.5 Lakh
2017 BMW 5-Series 520d M Sport,"47,000 km  |  Diesel  |  Ashok Vihar, Delhi",Rs. 17.95 Lakh
2022 Kia Carnival Limousine 7 STR,"60,000 km  |  Diesel  |  Ashok Vihar, Delhi",Rs. 28 Lakh
2019 Bentley Continental GT Coupe,"25,000 km  |  Petrol  |  Ashok Vihar, Delhi",Rs. 1.35 Crore
2023 BMW X7 xDrive40i M Sport (Petrol),"17,000 km  |  Petrol  |  Ashok Vihar, Delhi",Rs. 1.02 Crore
2021 Hyundai Tucson GL 2WD AT Petrol,"65,000 km  |  Petrol  |  Ashok Vihar, Delhi",Rs. 14.75 Lakh
2022 MG Gloster Savvy 6 STR 2.0 Twin Turbo 4WD,"40,000 km  |  Diesel  |  Ashok Vihar, Delhi",Rs. 27.5 Lakh
2025 Toyota Innova Hycross VX (O) Hybrid 7 STR,"2,500 km  |  Hybrid (Electric + Petrol)  |  Ashok Vihar, Delhi",Rs. 37 Lakh
2023 Toyota Innova Crysta 2.4 GX 7 STR,"28,000 km  |  Diesel  |  Naraina, Delhi",Rs. 19.65 Lakh
2023 Mahindra XUV700 AX 5 Diesel AT 7 STR [2021],"42,000 km  |  Diesel  |  Naraina, Delhi",Rs. 18.9 Lakh
2017 Land Rover Discovery Sport HSE Petrol,"47,000 km  |  Petrol  |  Lajpat Nagar, Delhi",Rs. 22.75 Lakh
2014 Hyundai Grand i10 Magna 1.2 Kappa VTVT [2013-2016],"37,733 km  |  Petrol  |  Lajpat Nagar, Delhi",Rs. 2.99 Lakh
2022 Mercedes-Benz A-Class Limousine 200,"13,000 km  |  Petrol  |  Naraina Vihar, Delhi",Rs. 33 Lakh
2022 Mahindra Scorpio Z8 L Petrol AT 7 STR [2022],"25,500 km  |  Petrol  |  Kirti Nagar, Delhi",Rs. 17.4 Lakh
2015 Maruti Suzuki Ciaz VXi+,"60,625 km  |  Petrol  |  Lajpat Nagar, Delhi",Rs. 4.3 Lakh
2019 Hyundai Venue S 1.0 Turbo DCT,"78,212 km  |  Petrol  |  Lajpat Nagar, Delhi",Rs. 6.75 Lakh
2016 Hyundai Creta 1.6 SX Plus Petrol,"81,723 km  |  Petrol  |  Lajpat Nagar, Delhi",Rs. 5.9 Lakh
2022 Mahindra XUV700 AX 7 Petrol AT Luxury Pack 7 STR [2021],"16,000 km  |  Petrol  |  Lajpat Nagar, Delhi",Rs. 19.75 Lakh
2018 Audi A6 35 TFSI,"50,000 km  |  Petrol  |  Lajpat Nagar, Delhi",Rs. 24.9 Lakh
2016 Mercedes-Benz CLA 200 Petrol Sport,"27,000 km  |  Petrol  |  Lajpat Nagar, Delhi",Rs. 15.9 Lakh
2017 Maruti Suzuki Swift Lxi ABS [2014-2017],"44,757 km  |  Petrol  |  J 6Block Rajouri Garden, Delhi",Rs. 3.59 Lakh
2017 Jeep Compass Longitude (O) 2.0 Diesel [2017-2020],"71,000 km  |  Diesel  |  Kirti Nagar, Delhi",Rs. 6.95 Lakh
2020 Mercedes-Benz GLC 200 Progressive [2019-2021],"32,000 km  |  Petrol  |  Naraina Vihar, Delhi",Rs. 39 Lakh
2022 Mercedes-Benz GLS 400d 4MATIC [2020-2023],"26,000 km  |  Diesel  |  Ashok Vihar, Delhi",Rs. 84.5 Lakh
2024 Audi Q5 Technology 45 TFSI [2021-2024],"7,000 km  |  Petrol  |  Naraina Vihar, Delhi",Rs. 58 Lakh
2024 Mahindra Thar Roxx AX5 L Diesel AT 4WD,"26,000 km  |  Diesel  |  Ashok Vihar, Delhi",Rs. 20.5 Lakh
2016 Mercedes-Benz CLA 200 Petrol Sport,"27,000 km  |  Petrol  |  Lajpat Nagar, Delhi",Rs. 15.9 Lakh
2015 Maruti Suzuki Ciaz VXi+,"60,625 km  |  Petrol  |  Lajpat Nagar, Delhi",Rs. 4.3 Lakh
2019 Hyundai Venue S 1.0 Turbo DCT,"78,212 km  |  Petrol  |  Lajpat Nagar, Delhi",Rs. 6.75 Lakh
2016 Hyundai Creta 1.6 SX Plus Petrol,"81,723 km  |  Petrol  |  Lajpat Nagar, Delhi",Rs. 5.9 Lakh
2022 Mahindra XUV700 AX 7 Petrol AT Luxury Pack 7 STR [2021],"16,000 km  |  Petrol  |  Lajpat Nagar, Delhi",Rs. 19.75 Lakh
2018 Audi A6 35 TFSI,"50,000 km  |  Petrol  |  Lajpat Nagar, Delhi",Rs. 24.9 Lakh
2022 Mahindra Scorpio Z8 L Petrol AT 7 STR [2022],"25,500 km  |  Petrol  |  Kirti Nagar, Delhi",Rs. 17.4 Lakh
2020 BMW X4 xDrive20d M Sport X [2019-2020],"55,000 km  |  Diesel  |  Ashok Vihar, Delhi",Rs. 35.75 Lakh
2021 Mahindra Thar LX Hard Top Petrol AT,"21,000 km  |  Petrol  |  Ashok Vihar, Delhi",Rs. 10.9 Lakh
2023 Lexus LX 500d with Ash Open Pore Sumi Black Trim,"13,000 km  |  Diesel  |  Ashok Vihar, Delhi",Rs. 2.75 Crore
2015 Mini Convertible 1.6,"45,000 km  |  Petrol  |  Ashok Vihar, Delhi",Rs. 23.75 Lakh
2013 Mercedes-Benz M-Class ML 250 CDI,"1,19,000 km  |  Diesel  |  Ashok Vihar, Delhi",Rs. 12.5 Lakh
2019 Volvo S90 D4 Inscription,"47,000 km  |  Diesel  |  Ashok Vihar, Delhi",Rs. 25.75 Lakh
2016 Audi A6 35 TFSI,"59,000 km  |  Petrol  |  Ashok Vihar, Delhi",Rs. 17.5 Lakh
2017 BMW 5-Series 520d M Sport,"47,000 km  |  Diesel  |  Ashok Vihar, Delhi",Rs. 17.95 Lakh
2022 Kia Carnival Limousine 7 STR,"60,000 km  |  Diesel  |  Ashok Vihar, Delhi",Rs. 28 Lakh
2019 Bentley Continental GT Coupe,"25,000 km  |  Petrol  |  Ashok Vihar, Delhi",Rs. 1.35 Crore
2023 BMW X7 xDrive40i M Sport (Petrol),"17,000 km  |  Petrol  |  Ashok Vihar, Delhi",Rs. 1.02 Crore
2021 Mahindra XUV500 W11,"50,000 km  |  Diesel  |  Karol Bagh, Delhi",Rs. 11.5 Lakh
2017 Maruti Suzuki Swift VXi,"65,641 km  |  Petrol  |  Rohini, Delhi",Rs. 3.76 Lakh
2022 Toyota Innova Crysta GX 2.4 7 STR,"27,000 km  |  Diesel  |  Ashok Vihar, Delhi",Rs. 20.95 Lakh
2022 Volkswagen Taigun Topline 1.0 TSI MT,"40,000 km  |  Petrol  |  Kirti Nagar, Delhi",Rs. 10.99 Lakh
2018 Toyota Corolla Altis VL AT Petrol,"62,000 km  |  Petrol  |  Kirti Nagar, Delhi",Rs. 9.5 Lakh
2019 Hyundai Elite i20 Sportz 1.2 (O),"62,000 km  |  Petrol  |  Kirti Nagar, Delhi",Rs. 4.99 Lakh
2016 Toyota Corolla Altis G AT Petrol,"70,000 km  |  Petrol  |  Kirti Nagar, Delhi",Rs. 6.95 Lakh
2022 Hyundai Creta EX 1.5 Petrol [2020-2022],"25,000 km  |  Petrol  |  Kirti Nagar, Delhi",Rs. 9.25 Lakh
2019 BMW 6-Series GT 630d Luxury Line [2018-2019],"68,000 km  |  Diesel  |  Kirti Nagar, Delhi",Rs. 32 Lakh
2020 BMW 6-Series GT 630i Luxury Line,"38,000 km  |  Petrol  |  Kirti Nagar, Delhi",Rs. 38.49 Lakh
2017 Mahindra XUV500 W6,"75,000 km  |  Diesel  |  Kirti Nagar, Delhi",Rs. 5.95 Lakh
2021 Maruti Suzuki Baleno Sigma 1.2,"10,000 km  |  Petrol  |  Kirti Nagar, Delhi",Rs. 4.95 Lakh
2018 BMW 5-Series 530i Sport Line,"34,000 km  |  Petrol  |  Ashok Vihar, Delhi",Rs. 30 Lakh
2023 Jeep Meridian Limited (O) 4X2 AT [2022],"17,000 km  |  Diesel  |  Lajpat Nagar, Delhi",Rs. 24 Lakh
2017 Maruti Suzuki Baleno Zeta 1.2 AT,"69,723 km  |  Petrol  |  Lajpat Nagar, Delhi",Rs. 4.9 Lakh
2023 Land Rover Discovery Sport SE R-Dynamic Petrol [2023-2024],"31,039 km  |  Mild Hybrid(Electric + Petrol)  |  Nimri, Delhi",Rs. 52 Lakh
2021 Mercedes-Benz GLE 300d 4MATIC LWB [2020-2023],"40,000 km  |  Diesel  |  Kirti Nagar, Delhi",Rs. 58 Lakh
2018 BMW 5-Series 530d M Sport [2017-2019],"45,000 km  |  Diesel  |  Kirti Nagar, Delhi",Rs. 32 Lakh
2021 Hyundai Grand i10 NIOS Magna AMT 1.2 Kappa VTVT,"48,203 km  |  Petrol  |  Lajpat Nagar, Delhi",Rs. 5.9 Lakh
2022 MG Astor Savvy 1.5 CVT [2021-2023],"24,845 km  |  Petrol  |  Lajpat Nagar, Delhi",Rs. 10.5 Lakh
2023 Audi Q3 40 TFSI Premium Plus,"9,500 km  |  Petrol  |  Ashok Vihar, Delhi",Rs. 33.75 Lakh
2022 Mahindra XUV700 AX 7 Petrol AT Luxury Pack 7 STR [2021],"36,474 km  |  Petrol  |  Lajpat Nagar, Delhi",Rs. 19.9 Lakh
2021 Hyundai Creta E 1.5 Diesel [2020-2022],"42,454 km  |  Diesel  |  Lajpat Nagar, Delhi",Rs. 10.45 Lakh
2020 Audi A6 Premium Plus 45 TFSI [2019-2024],"48,000 km  |  Petrol  |  Lajpat Nagar, Delhi",Rs. 31.9 Lakh
2020 Mahindra XUV300 W8 (O) 1.5 Diesel [2020],"61,969 km  |  Diesel  |  Madhapur, Hyderabad",Rs. 9 Lakh
2014 Mercedes-Benz GLA 200 CDI Sport,"56,000 km  |  Diesel  |  Jubilee Hills, Hyderabad",Rs. 19.25 Lakh
2023 Maruti Suzuki Grand Vitara Alpha Plus Intelligent Hybrid e-CVT,"26,400 km  |  Hybrid (Electric + Petrol)  |  Habsiguda, Hyderabad",Rs. 18.75 Lakh
2018 Ford Ecosport Titanium 1.5L TDCi,"62,497 km  |  Diesel  |  Madhapur, Hyderabad",Rs. 8.35 Lakh
2017 Mercedes-Benz GLE 250 d,"90,000 km  |  Diesel  |  Begumpet, Hyderabad",Rs. 30 Lakh
2017 Toyota Innova Crysta 2.4 GX 8 STR [2016-2020],"1,34,900 km  |  Diesel  |  Banjara Hills Hyderabad, Hyderabad",Rs. 13.5 Lakh
2019 Lexus LS 500h Ultra Luxury [2018-2020],"6,000 km  |  Hybrid (Electric + Petrol)  |  Jubilee Hills, Hyderabad",Rs. 1.45 Crore
2017 Audi A6 35 TDI Matrix,"61,335 km  |  Diesel  |  Banjara Hills Hyderabad, Hyderabad",Rs. 20 Lakh
2020 Maruti Suzuki DZire ZXi AGS [2020-2023],"72,579 km  |  Petrol  |  Nagarjuna Hills, Hyderabad",Rs. 5.7 Lakh
2023 Hyundai Verna SX (O) 1.5 Turbo Petrol DCT,"19,955 km  |  Petrol  |  Banjara Hills Hyderabad, Hyderabad",Rs. 13.95 Lakh
2023 Mahindra Thar LX Hard Top Petrol AT,"45,394 km  |  Petrol  |  Banjara Hills Hyderabad, Hyderabad",Rs. 13.45 Lakh
2022 MG Hector Plus Sharp 1.5 Petrol Turbo Hybrid MT 6-STR,"79,839 km  |  Hybrid (Electric + Petrol)  |  Nagarjuna Hills, Hyderabad",Rs. 13.5 Lakh
2021 MG Hector Plus Sharp 1.5 Petrol Turbo Hybrid MT 6-STR,"36,345 km  |  Hybrid (Electric + Petrol)  |  Nagarjuna Hills, Hyderabad",Rs. 13.5 Lakh
2022 Maruti Suzuki Grand Vitara Alpha Smart Hybrid AT Dual Tone [2023-2025],"27,000 km  |  Petrol  |  Banjara Hills Hyderabad, Hyderabad",Rs. 14.5 Lakh
2021 Maruti Suzuki DZire ZXi Plus AMT,"72,000 km  |  Petrol  |  Banjara Hills Hyderabad, Hyderabad",Rs. 5.99 Lakh
2023 Hyundai Verna SX 1.5 Turbo Petrol DCT,"19,000 km  |  Petrol  |  Banjara Hills Hyderabad, Hyderabad",Rs. 13.95 Lakh
2023 Mahindra Thar LX Hard Top Petrol AT RWD,"40,000 km  |  Petrol  |  Banjara Hills Hyderabad, Hyderabad",Rs. 13.45 Lakh
2023 Hyundai Verna SX (O) 1.5 Turbo Petrol DCT,"19,800 km  |  Petrol  |  Banjara Hills Hyderabad, Hyderabad",Rs. 13.95 Lakh
2024 Mahindra XUV700 AX7 Luxury Pack 2WD Diesel 2.2L Turbo Automatic 7 STR,"25,000 km  |  Diesel  |  Banjara Hills Hyderabad, Hyderabad",Rs. 23.95 Lakh
2022 Hyundai Verna SX (O) 1.0 Turbo DCT,"31,000 km  |  Petrol  |  Madhapur, Hyderabad",Rs. 12.5 Lakh
2019 BMW X1 sDrive20d xLine,"61,355 km  |  Diesel  |  Madhapur, Hyderabad",Rs. 28.5 Lakh
2021 Mahindra Thar LX Hard Top Diesel MT 4WD,"19,456 km  |  Diesel  |  Madhapur, Hyderabad",Rs. 13 Lakh
2022 Mahindra Thar LX Hard Top Diesel MT 4WD,"54,300 km  |  Diesel  |  Attapur, Hyderabad",Rs. 14.5 Lakh
2023 Mahindra Thar LX Hard Top Diesel MT 4WD,"50,600 km  |  Diesel  |  Attapur, Hyderabad",Rs. 16 Lakh
2020 Volkswagen Polo Highline Plus 1.0L TSI AT,"32,952 km  |  Petrol  |  Madhapur, Hyderabad",Rs. 9 Lakh
2018 BMW X1 sDrive20d M Sport,"79,607 km  |  Diesel  |  Madhapur, Hyderabad",Rs. 27 Lakh
2016 BMW X1 sDrive20d xLine,"67,642 km  |  Diesel  |  Madhapur, Hyderabad",Rs. 19.5 Lakh
2022 Mahindra Thar LX Hard Top Diesel MT 4WD,"33,800 km  |  Diesel  |  Attapur, Hyderabad",Rs. 15.5 Lakh
2022 Mahindra Thar LX Hard Top Diesel MT 4WD,"35,600 km  |  Diesel  |  Attapur, Hyderabad",Rs. 15 Lakh
2021 Kia Seltos HTK Plus 1.5 [2019-2020],"61,000 km  |  Petrol  |  Banjara Hills Hyderabad, Hyderabad",Rs. 8.95 Lakh
2016 Volkswagen Polo GT TSI,"39,216 km  |  Petrol  |  Madhapur, Hyderabad",Rs. 7 Lakh
2022 Mahindra XUV700 AX 7 Diesel AT 7 STR [2023-2024],"62,058 km  |  Diesel  |  Madhapur, Hyderabad",Rs. 22.99 Lakh
2024 Kia Sonet HTX 1.5 Diesel AT [2024-2025],"28,946 km  |  Diesel  |  Madhapur, Hyderabad",Rs. 14 Lakh
2023 MG Astor Sharp 1.5 CVT Old Generation [2021-2023],"36,206 km  |  Petrol  |  Nagarjuna Hills, Hyderabad",Rs. 13 Lakh
2022 MG Astor Savvy 1.3 Turbo AT S Red [2021-2023],"28,238 km  |  Petrol  |  Nagarjuna Hills, Hyderabad",Rs. 13 Lakh
2022 MG Astor Sharp 1.5 CVT Old Generation [2021-2023],"19,616 km  |  Petrol  |  Nagarjuna Hills, Hyderabad",Rs. 13 Lakh
2019 Hyundai Creta SX 1.6 Petrol,"76,620 km  |  Petrol  |  Nagarjuna Hills, Hyderabad",Rs. 8.6 Lakh
2017 Toyota Innova Crysta 2.4 ZX 7 STR [2016-2020],"55,832 km  |  Diesel  |  Banjara Hills Hyderabad, Hyderabad",Rs. 17.89 Lakh
2021 MG Hector Plus Select 2.0 Diesel Turbo MT 7-STR,"73,623 km  |  Diesel  |  Nagarjuna Hills, Hyderabad",Rs. 14 Lakh
2017 Hyundai Grand i10 Magna AT 1.2 Kappa VTVT,"84,845 km  |  Petrol  |  Attapur, Hyderabad",Rs. 4.5 Lakh
2021 Honda City ZX CVT Petrol [2017-2019],"31,449 km  |  Petrol  |  Banjara Hills Hyderabad, Hyderabad",Rs. 11.95 Lakh
2020 Volkswagen Tiguan AllSpace 2.0 TSI,"67,216 km  |  Petrol  |  Banjara Hills Hyderabad, Hyderabad",Rs. 18.95 Lakh
2016 Maruti Suzuki Baleno Zeta 1.2 AT,"65,369 km  |  Petrol  |  Madhapur, Hyderabad",Rs. 5.5 Lakh
2022 Volkswagen Polo 1.0 GT TSI,"65,576 km  |  Petrol  |  Madhapur, Hyderabad",Rs. 10.5 Lakh
2020 Toyota Innova Crysta 2.4 ZX AT 7 STR,"85,996 km  |  Diesel  |  Banjara Hills Hyderabad, Hyderabad",Rs. 23.95 Lakh
2024 Mercedes-Benz GLA 200 [2021-2023],"5,500 km  |  Petrol  |  Rockdale Somajiguda, Hyderabad",Rs. 41.26 Lakh
2021 Mercedes-Benz E-Class E 200,"56,600 km  |  Petrol  |  Rockdale Somajiguda, Hyderabad",Rs. 40 Lakh
2018 Tata Tiago Revotron XZ,"41,699 km  |  Petrol  |  A P E R L, Hyderabad",Rs. 4.01 Lakh
2016 Hyundai Creta 1.6 SX Plus Petrol,"69,532 km  |  Petrol  |  Hankimpet, Hyderabad",Rs. 7.45 Lakh
2024 Maruti Suzuki Swift ZXi Plus Dual Tone [2021-2023],"34,330 km  |  Petrol  |  Beerappagadda, Hyderabad",Rs. 7.28 Lakh
2023 Maruti Suzuki Grand Vitara Alpha Smart Hybrid AT [2022-2023],"26,000 km  |  Petrol  |  Madhapur, Hyderabad",Rs. 19 Lakh
2020 Tata Tiago Revotron XT [2016-2019],"58,434 km  |  Petrol  |  Old MLA Quarters, Hyderabad",Rs. 4.13 Lakh
2019 Mercedes-Benz E-Class E 350 d Exclusive [2017-2019],"13,000 km  |  Diesel  |  Madhapur, Hyderabad",Rs. 53 Lakh
2018 BMW X5 xDrive 30d Expedition,"79,000 km  |  Diesel  |  Madhapur, Hyderabad",Rs. 42 Lakh
2018 Toyota Fortuner 2.8 4x2 AT [2016-2020],"89,000 km  |  Diesel  |  Madhapur, Hyderabad",Rs. 35 Lakh
2017 Toyota Innova Crysta 2.8 ZX AT 7 STR [2016-2020],"1,33,000 km  |  Diesel  |  Madhapur, Hyderabad",Rs. 19 Lakh
2023 BMW X3 xDrive20d M Sport,"51,000 km  |  Diesel  |  Madhapur, Hyderabad",Rs. 61 Lakh
2022 Citroen C5 Shine Dual Tone,"90,000 km  |  Diesel  |  Madhapur, Hyderabad",Rs. 26 Lakh
2022 Tata Nexon EV XZ Plus Dark Edition,"35,000 km  |  Electric  |  Madhapur, Hyderabad",Rs. 13 Lakh
2021 Citroen C5 Shine Dual Tone,"55,000 km  |  Diesel  |  Madhapur, Hyderabad",Rs. 25 Lakh
2019 Mercedes-Benz GLS 350 d,"82,000 km  |  Diesel  |  Madhapur, Hyderabad",Rs. 65 Lakh
2017 BMW 5-Series 520d M Sport,"76,000 km  |  Diesel  |  Madhapur, Hyderabad",Rs. 33 Lakh
2018 Volvo XC40 Inscription,"76,000 km  |  Diesel  |  Madhapur, Hyderabad",Rs. 24.5 Lakh
2024 MG Windsor EV Essence,"25,630 km  |  Electric  |  Nagarjuna Hills, Hyderabad",Rs. 14.7 Lakh
2019 Volvo XC90 D5 AWD,"1,43,790 km  |  Diesel  |  Rockdale Somajiguda, Hyderabad",Rs. 41 Lakh
2022 Mahindra Thar LX Hard Top Diesel MT 4WD,"54,300 km  |  Diesel  |  Attapur, Hyderabad",Rs. 14.5 Lakh
2023 Mahindra Thar LX Hard Top Diesel MT 4WD,"50,600 km  |  Diesel  |  Attapur, Hyderabad",Rs. 16 Lakh
2020 Volkswagen Polo Highline Plus 1.0L TSI AT,"32,952 km  |  Petrol  |  Madhapur, Hyderabad",Rs. 9 Lakh
2018 BMW X1 sDrive20d M Sport,"79,607 km  |  Diesel  |  Madhapur, Hyderabad",Rs. 27 Lakh
2016 BMW X1 sDrive20d xLine,"67,642 km  |  Diesel  |  Madhapur, Hyderabad",Rs. 19.5 Lakh
2022 Mahindra Thar LX Hard Top Diesel MT 4WD,"33,800 km  |  Diesel  |  Attapur, Hyderabad",Rs. 15.5 Lakh
2022 Mahindra Thar LX Hard Top Diesel MT 4WD,"35,600 km  |  Diesel  |  Attapur, Hyderabad",Rs. 15 Lakh
2021 Kia Seltos HTK Plus 1.5 [2019-2020],"61,000 km  |  Petrol  |  Banjara Hills Hyderabad, Hyderabad",Rs. 8.95 Lakh
2016 Volkswagen Polo GT TSI,"39,216 km  |  Petrol  |  Madhapur, Hyderabad",Rs. 7 Lakh
2022 Mahindra XUV700 AX 7 Diesel AT 7 STR [2023-2024],"62,058 km  |  Diesel  |  Madhapur, Hyderabad",Rs. 22.99 Lakh
2024 Kia Sonet HTX 1.5 Diesel AT [2024-2025],"28,946 km  |  Diesel  |  Madhapur, Hyderabad",Rs. 14 Lakh
2023 MG Astor Sharp 1.5 CVT Old Generation [2021-2023],"36,206 km  |  Petrol  |  Nagarjuna Hills, Hyderabad",Rs. 13 Lakh
2022 MG Astor Savvy 1.3 Turbo AT S Red [2021-2023],"28,238 km  |  Petrol  |  Nagarjuna Hills, Hyderabad",Rs. 13 Lakh
2022 MG Astor Sharp 1.5 CVT Old Generation [2021-2023],"19,616 km  |  Petrol  |  Nagarjuna Hills, Hyderabad",Rs. 13 Lakh
2019 Hyundai Creta SX 1.6 Petrol,"76,620 km  |  Petrol  |  Nagarjuna Hills, Hyderabad",Rs. 8.6 Lakh
2017 Toyota Innova Crysta 2.4 ZX 7 STR [2016-2020],"55,832 km  |  Diesel  |  Banjara Hills Hyderabad, Hyderabad",Rs. 17.89 Lakh
2021 MG Hector Plus Select 2.0 Diesel Turbo MT 7-STR,"73,623 km  |  Diesel  |  Nagarjuna Hills, Hyderabad",Rs. 14 Lakh
2017 Hyundai Grand i10 Magna AT 1.2 Kappa VTVT,"84,845 km  |  Petrol  |  Attapur, Hyderabad",Rs. 4.5 Lakh
2021 Honda City ZX CVT Petrol [2017-2019],"31,449 km  |  Petrol  |  Banjara Hills Hyderabad, Hyderabad",Rs. 11.95 Lakh
2020 Volkswagen Tiguan AllSpace 2.0 TSI,"67,216 km  |  Petrol  |  Banjara Hills Hyderabad, Hyderabad",Rs. 18.95 Lakh
2016 Maruti Suzuki Baleno Zeta 1.2 AT,"65,369 km  |  Petrol  |  Madhapur, Hyderabad",Rs. 5.5 Lakh
2022 Volkswagen Polo 1.0 GT TSI,"65,576 km  |  Petrol  |  Madhapur, Hyderabad",Rs. 10.5 Lakh
2020 Toyota Innova Crysta 2.4 ZX AT 7 STR,"85,996 km  |  Diesel  |  Banjara Hills Hyderabad, Hyderabad",Rs. 23.95 Lakh
2024 Mercedes-Benz GLA 200 [2021-2023],"5,500 km  |  Petrol  |  Rockdale Somajiguda, Hyderabad",Rs. 41.26 Lakh
2021 Mercedes-Benz E-Class E 200,"56,600 km  |  Petrol  |  Rockdale Somajiguda, Hyderabad",Rs. 40 Lakh
2018 Tata Tiago Revotron XZ,"41,699 km  |  Petrol  |  A P E R L, Hyderabad",Rs. 4.01 Lakh
2016 Hyundai Creta 1.6 SX Plus Petrol,"69,532 km  |  Petrol  |  Hankimpet, Hyderabad",Rs. 7.45 Lakh
2024 Maruti Suzuki Swift ZXi Plus Dual Tone [2021-2023],"34,330 km  |  Petrol  |  Beerappagadda, Hyderabad",Rs. 7.28 Lakh
2023 Maruti Suzuki Grand Vitara Alpha Smart Hybrid AT [2022-2023],"26,000 km  |  Petrol  |  Madhapur, Hyderabad",Rs. 19 Lakh
2020 Tata Tiago Revotron XT [2016-2019],"58,434 km  |  Petrol  |  Old MLA Quarters, Hyderabad",Rs. 4.13 Lakh
2019 Mercedes-Benz E-Class E 350 d Exclusive [2017-2019],"13,000 km  |  Diesel  |  Madhapur, Hyderabad",Rs. 53 Lakh
2018 BMW X5 xDrive 30d Expedition,"79,000 km  |  Diesel  |  Madhapur, Hyderabad",Rs. 42 Lakh
2018 Toyota Fortuner 2.8 4x2 AT [2016-2020],"89,000 km  |  Diesel  |  Madhapur, Hyderabad",Rs. 35 Lakh
2017 Toyota Innova Crysta 2.8 ZX AT 7 STR [2016-2020],"1,33,000 km  |  Diesel  |  Madhapur, Hyderabad",Rs. 19 Lakh
2017 Volvo XC90 D5 Momentum,"1,16,000 km  |  Diesel  |  Madhapur, Hyderabad",Rs. 36 Lakh
2020 Hyundai Santro Sportz,"76,833 km  |  Petrol  |  Nagarjuna Hills, Hyderabad",Rs. 4 Lakh
2022 MG Astor Savvy 1.5 CVT Ivory [2023-2024],"16,891 km  |  Petrol  |  Nagarjuna Hills, Hyderabad",Rs. 13.5 Lakh
2024 Renault Kwid CLIMBER 1.0 AMT Opt [2020-2021],"15,382 km  |  Petrol  |  Nagarjuna Hills, Hyderabad",Rs. 5.3 Lakh
2021 MG Astor Savvy 1.3 Turbo AT S Red [2021-2023],"41,437 km  |  Petrol  |  Nagarjuna Hills, Hyderabad",Rs. 11.5 Lakh
2021 MG Hector Sharp 1.5 DCT Petrol [2019-2020],"45,905 km  |  Petrol  |  Nagarjuna Hills, Hyderabad",Rs. 13.5 Lakh
2022 Toyota Fortuner 4x2 2WD Diesel 2.8L Turbo Automatic,"47,000 km  |  Diesel  |  Madhapur, Hyderabad",Rs. 39 Lakh
2022 Mercedes-Benz C-Class C220d Progressive,"32,000 km  |  Diesel  |  Madhapur, Hyderabad",Rs. 46 Lakh
2021 MG Gloster Savvy 6 STR 2.0 Twin Turbo 4WD,"73,285 km  |  Diesel  |  Nagarjuna Hills, Hyderabad",Rs. 27 Lakh
2022 Maruti Suzuki Ignis Zeta 1.2 AMT,"46,039 km  |  Petrol  |  Nagarjuna Hills, Hyderabad",Rs. 6.3 Lakh
2019 Ford Endeavour Titanium Plus 3.2 4x4 AT,"66,000 km  |  Diesel  |  Madhapur, Hyderabad",Rs. 29.5 Lakh
2022 Toyota Innova Crysta ZX 2.4 AT 7 STR,"84,000 km  |  Diesel  |  Madhapur, Hyderabad",Rs. 30 Lakh
2017 Mercedes-Benz E-Class E 220 d Avantgarde,"73,600 km  |  Diesel  |  Attapur, Hyderabad",Rs. 29.5 Lakh
2018 Maruti Suzuki Wagon R VXI AMT,"77,965 km  |  Petrol  |  Nagarjuna Hills, Hyderabad",Rs. 4 Lakh
2011 Toyota Fortuner 3.0 MT,"1,74,000 km  |  Diesel  |  Madhapur, Hyderabad",Rs. 14 Lakh
2023 Tata Tiago XT [2020-2023],"24,509 km  |  Petrol  |  Bellavista, Hyderabad",Rs. 5.34 Lakh
2021 MG Gloster Savvy 7 STR 2.0 Twin Turbo 4WD [2022-2023],"58,100 km  |  Diesel  |  Banjara Hills Hyderabad, Hyderabad",Rs. 29.85 Lakh
2022 BMW X7 xDrive40i M Sport (Petrol),"51,000 km  |  Petrol  |  Banjara Hills Hyderabad, Hyderabad",Rs. 95 Lakh
2019 Maruti Suzuki Wagon R ZXi 1.2 AMT,"61,000 km  |  Petrol  |  Banjara Hills Hyderabad, Hyderabad",Rs. 4.95 Lakh
2019 MG Hector Smart 2.0 Diesel [2019-2020],"84,500 km  |  Diesel  |  Banjara Hills Hyderabad, Hyderabad",Rs. 10.45 Lakh
2024 BMW 3 Series Gran Limousine 320Ld M Sport [2023],"18,100 km  |  Diesel  |  Banjara Hills Hyderabad, Hyderabad",Rs. 54.35 Lakh
2015 Maruti Suzuki Swift ZXi,"62,100 km  |  Petrol  |  Banjara Hills Hyderabad, Hyderabad",Rs. 3.85 Lakh
