o-o,o-j1,o-j5
2023 Mahindra Thar LX Hard Top Petrol AT,"17,861 km  |  Petrol  |  Begur, Bangalore",Rs. 13.99 Lakh
2018 Maruti Suzuki DZire ZXi Plus AMT,"60,000 km  |  Petrol  |  Begur, Bangalore",Rs. 6.49 Lakh
2019 Renault Kwid 1.0 RXT Opt,"29,054 km  |  Petrol  |  Begur, Bangalore",Rs. 4.29 Lakh
2022 BMW X1 sDrive20d xLine,"20,000 km  |  Diesel  |  Nayanda Halli, Bangalore",Rs. 36 Lakh
2019 Mahindra XUV500 W11 AT,"51,100 km  |  Diesel  |  Singasandra, Bangalore",Rs. 15.95 Lakh
2017 Maruti Suzuki Baleno Alpha 1.2 AT,"66,000 km  |  Petrol  |  Arunachalam Mudaliar Street, Bangalore",Rs. 6.75 Lakh
2020 BMW X1 sDrive20d xLine,"42,300 km  |  Diesel  |  Arunachalam Mudaliar Street, Bangalore",Rs. 31.5 Lakh
2017 BMW X1 xDrive20d xLine,"66,301 km  |  Diesel  |  Koramangala, Bangalore",Rs. 20.75 Lakh
2019 Maruti Suzuki Baleno Alpha Automatic,"34,493 km  |  Petrol  |  Begur, Bangalore",Rs. 7.49 Lakh
2021 Tata Nexon XZA Plus (O),"57,127 km  |  Petrol  |  Begur, Bangalore",Rs. 9.49 Lakh
2022 Maruti Suzuki Vitara Brezza VXi,"57,853 km  |  Petrol  |  Begur, Bangalore",Rs. 8.49 Lakh
2022 Mahindra XUV700 AX 7 Petrol AT 7 STR [2023-2024],"41,517 km  |  Petrol  |  Begur, Bangalore",Rs. 18.49 Lakh
2018 Maruti Suzuki Ciaz Alpha 1.4 AT,"62,000 km  |  Petrol  |  Adugodi, Bangalore",Rs. 6.9 Lakh
2018 Maruti Suzuki Celerio VXi AMT,"45,434 km  |  Petrol  |  Begur, Bangalore",Rs. 4.75 Lakh
2021 Toyota Innova Crysta GX 2.4 AT 7 STR,"40,445 km  |  Diesel  |  Kengeri Satellite Town, Bangalore",Rs. 22.5 Lakh
2016 BMW 3-Series 320d Luxury Line,"60,590 km  |  Diesel  |  Yelahanka, Bangalore",Rs. 22.5 Lakh
2021 Mahindra Thar LX Hard Top Petrol AT 4WD,"25,629 km  |  Petrol  |  Begur, Bangalore",Rs. 13.49 Lakh
2020 Renault Kwid RXT Opt [2015-2019],"69,808 km  |  Petrol  |  1st phase Girinagar, Bangalore",Rs. 4.25 Lakh
2016 Mahindra XUV500 W6 AT,"76,390 km  |  Diesel  |  Begur, Bangalore",Rs. 8.99 Lakh
2016 Ford Figo Titanium 1.2 Ti-VCT,"49,943 km  |  Petrol  |  1st phase Girinagar, Bangalore",Rs. 4.4 Lakh
2019 Maruti Suzuki Vitara Brezza ZDi+ Dual Tone [2017-2018],"35,000 km  |  Diesel  |  Byatarayanapura, Bangalore",Rs. 9.45 Lakh
2019 Maruti Suzuki DZire VXi AMT,"31,766 km  |  Petrol  |  Begur, Bangalore",Rs. 6.99 Lakh
2023 Mahindra Thar LX Hard Top Diesel AT 4WD [2023],"34,000 km  |  Diesel  |  Byatarayanapura, Bangalore",Rs. 17.5 Lakh
2018 BMW X1 sDrive20d xLine,"50,000 km  |  Diesel  |  Byatarayanapura, Bangalore",Rs. 27.25 Lakh
2023 Toyota Fortuner 4X4 AT 2.8 Diesel,"31,000 km  |  Diesel  |  Byatarayanapura, Bangalore",Rs. 46.95 Lakh
2016 Maruti Suzuki Swift VXi [2014-2017],"45,000 km  |  Petrol  |  Byatarayanapura, Bangalore",Rs. 5.25 Lakh
2016 Ford Ecosport Titanium 1.5L Ti-VCT AT,"40,000 km  |  Petrol  |  Byatarayanapura, Bangalore",Rs. 6.75 Lakh
2021 Tata Harrier XZA Plus Dark Edition,"8,000 km  |  Diesel  |  Byatarayanapura, Bangalore",Rs. 18.45 Lakh
2017 Maruti Suzuki Vitara Brezza ZDi Plus,"65,000 km  |  Diesel  |  Byatarayanapura, Bangalore",Rs. 8.25 Lakh
2021 Maruti Suzuki Ertiga ZXi Plus,"54,000 km  |  Petrol  |  Byatarayanapura, Bangalore",Rs. 10.95 Lakh
2024 Volkswagen Taigun GT Plus 1.5 TSI DSG,"4,719 km  |  Petrol  |  Banaswadi, Bangalore",Rs. 19 Lakh
2022 Tata Harrier XZA Plus,"46,000 km  |  Diesel  |  BTM Layout, Bangalore",Rs. 17.5 Lakh
2023 Mahindra Thar LX Hard Top Diesel AT 4WD [2023],"40,000 km  |  Diesel  |  Byatarayanapura, Bangalore",Rs. 16.75 Lakh
2016 BMW 3-Series 320d Sport Line [2016-2018],"52,396 km  |  Diesel  |  Yelahanka, Bangalore",Rs. 21.5 Lakh
2019 Maruti Suzuki DZire VXi,"40,472 km  |  Petrol  |  Nayanda Halli, Bangalore",Rs. 6.25 Lakh
2019 MG Hector Sharp 1.5 DCT Petrol Dual Tone,"59,000 km  |  Petrol  |  Anand Nagar, Bangalore",Rs. 12.5 Lakh
2022 BMW X1 sDrive20d xLine,"20,906 km  |  Diesel  |  Nayanda Halli, Bangalore",Rs. 35.99 Lakh
