o-o,o-j1,o-j5
2021 Hyundai Venue SX 1.5 Diesel,"76,583 km  |  Diesel  |  Assembly of God Church School, Kolkata",Rs. 7.59 Lakh
2014 Toyota Etios 1.5 V,"62,000 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 2.99 Lakh
2015 Nissan Sunny XV D,"50,000 km  |  Diesel  |  East Kolkata Twp, Kolkata",Rs. 2.6 Lakh
2021 Hyundai Creta EX 1.5 Petrol [2020-2022],"50,649 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 7.8 Lakh
2016 Maruti Suzuki Ciaz ZXI+,"58,145 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 4.22 Lakh
2022 Renault Kwid CLIMBER 1.0 MT Dual Tone [2024-2025],"7,922 km  |  Petrol  |  New Town Service Centre, Kolkata",Rs. 4.43 Lakh
2022 Honda City V Petrol,"25,493 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 8.69 Lakh
2022 Renault Kwid CLIMBER 1.0 (O),"39,838 km  |  Petrol  |  New Town Service Centre, Kolkata",Rs. 3.98 Lakh
2020 Renault Triber RXZ EASY-R AMT,"22,042 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 5.4 Lakh
2023 Kia Carens Luxury Plus 1.5 Turbo Petrol DCT 7 STR [2024-2025],"25,000 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 13.5 Lakh
2022 Hyundai Venue S Plus 1.2 Petrol,"13,000 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 5.99 Lakh
2017 Hyundai Verna SX (O)1.6 VTVT,"70,000 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 5.49 Lakh
2023 MG Hector Savvy Pro 1.5 Turbo Petrol CVT [2023],"6,775 km  |  Petrol  |  Bidhan Nagar Sai Complex, Kolkata",Rs. 17.55 Lakh
2022 Hyundai Aura S 1.2 AMT Petrol,"13,540 km  |  Petrol  |  Bidhan Nagar Sai Complex, Kolkata",Rs. 6.55 Lakh
2020 Hyundai Aura SX Plus 1.2 AMT Petrol,"31,305 km  |  Petrol  |  Bidhan Nagar Sai Complex, Kolkata",Rs. 5.75 Lakh
2023 MG Hector Sharp Pro 1.5 Turbo Petrol  CVT [2023],"11,211 km  |  Petrol  |  Bidhan Nagar Sai Complex, Kolkata",Rs. 17.25 Lakh
2021 Maruti Suzuki Alto 800 Lxi (Airbag) [2012-2015],"15,359 km  |  Petrol  |  New Town Service Centre, Kolkata",Rs. 3.07 Lakh
2022 Hyundai Grand i10 NIOS Asta AMT 1.2 Kappa VTVT,"23,820 km  |  Petrol  |  New Town Service Centre, Kolkata",Rs. 5.72 Lakh
2021 Renault Triber RXT [2019-2020],"11,417 km  |  Petrol  |  Kolkata, Kolkata",Rs. 4.56 Lakh
2022 Tata Tiago XZ Plus [2020-2023],"14,948 km  |  Petrol  |  Kolkata, Kolkata",Rs. 4.98 Lakh
2018 Hyundai Grand i10 Sportz 1.2 Kappa VTVT,"23,843 km  |  Petrol  |  Kolkata, Kolkata",Rs. 3.35 Lakh
2016 Tata Zest XT Petrol,"29,244 km  |  Petrol  |  New Town Service Centre, Kolkata",Rs. 3.19 Lakh
2016 Volkswagen Ameo Highline1.2L (P) [2016-2018],"1,06,710 km  |  Petrol  |  New Town Service Centre, Kolkata",Rs. 2.96 Lakh
2016 Maruti Suzuki Celerio VXi,"75,280 km  |  Petrol  |  New Town Service Centre, Kolkata",Rs. 2.93 Lakh
2020 Mahindra XUV500 W7 [2018-2020],"43,592 km  |  Diesel  |  Kolkata, Kolkata",Rs. 8.87 Lakh
2016 Maruti Suzuki Wagon R LXi,"26,175 km  |  Petrol  |  New Town Service Centre, Kolkata",Rs. 2.8 Lakh
2020 Hyundai Elite i20 Sportz Plus 1.2,"56,109 km  |  Petrol  |  New Town Service Centre, Kolkata",Rs. 4.98 Lakh
2021 Toyota Glanza G,"51,254 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 5.63 Lakh
2021 Mahindra XUV300 W8(O) 1.5 Diesel Dual Tone [2020],"38,877 km  |  Diesel  |  East Kolkata Twp, Kolkata",Rs. 8.39 Lakh
2023 Maruti Suzuki Swift ZXi,"25,687 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 6.19 Lakh
2015 Toyota Etios VX,"63,930 km  |  Petrol  |  New Town Service Centre, Kolkata",Rs. 3.78 Lakh
2019 Renault Kwid RXT Opt,"30,166 km  |  Petrol  |  New Town Service Centre, Kolkata",Rs. 2.87 Lakh
2021 Tata Tiago XZ Plus [2020-2023],"34,712 km  |  Petrol  |  New Town Service Centre, Kolkata",Rs. 5.29 Lakh
2020 Hyundai Aura SX Plus 1.0 Petrol,"26,492 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 5.27 Lakh
2016 Hyundai i10 Magna 1.1 iRDE2 [2010-2017],"46,827 km  |  Petrol  |  New Town Service Centre, Kolkata",Rs. 2.53 Lakh
2022 Kia Carens Luxury Plus 1.4 Petrol 7 STR,"28,087 km  |  Petrol  |  Kolkata, Kolkata",Rs. 10.95 Lakh
2021 Maruti Suzuki Baleno Zeta,"27,083 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 5.89 Lakh
2017 Maruti Suzuki S-Cross Zeta 1.3,"80,616 km  |  Diesel  |  New Town Service Centre, Kolkata",Rs. 4.49 Lakh
2013 Volkswagen Polo Comfortline 1.2L (P),"33,478 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 2.97 Lakh
2021 Hyundai Venue SX 1.0 Turbo iMT,"40,685 km  |  Petrol  |  New Town Service Centre, Kolkata",Rs. 7.19 Lakh
2022 Volkswagen Taigun Topline 1.0 TSI MT,"33,023 km  |  Petrol  |  Bidhan Nagar Sai Complex, Kolkata",Rs. 10.5 Lakh
2015 Hyundai Xcent S 1.2,"65,668 km  |  Petrol  |  Kolkata, Kolkata",Rs. 2 Lakh
2018 Ford Freestyle Trend 1.2 Ti-VCT [2018-2019],"15,660 km  |  Petrol  |  Kolkata, Kolkata",Rs. 3.46 Lakh
2020 Hyundai Grand i10 NIOS Sportz 1.2 Kappa VTVT,"40,900 km  |  Petrol  |  Kolkata, Kolkata",Rs. 3.96 Lakh
2016 Datsun Redigo T [2016-2019],"16,651 km  |  Petrol  |  Kolkata, Kolkata",Rs. 1.5 Lakh
2016 Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2013-2016],"34,118 km  |  Petrol  |  Kolkata, Kolkata",Rs. 2.97 Lakh
2017 Hyundai Grand i10 Asta 1.2 Kappa VTVT,"1,07,149 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 3.4 Lakh
