Brand,Model,Features
Hyundai,Verna,SX (O)1.6 VTVT
Tata,Punch,Adventure AMT [2021-2023]
Ford,Ecosport,Titanium 1.5L TDCi
Maruti Suzuki,Baleno,Delta 1.2 AT
Mercedes-Benz,S-Class,S 350 CDI Connoisseurs Edition
Mercedes-Benz,GLC,220d 4MATIC
Mercedes-Benz,GLE,300d 4MATIC LWB [2020-2023]
Mercedes-Benz,CLA,200 Petrol Sport
Porsche,Macan,Base [2021-2023]
Mercedes-Benz,CLA,200 Petrol Sport
Mercedes-Benz,CLA,200 Petrol Sport
Mercedes-Benz,S-Class,S 350d
Mercedes-Benz,GLC,220d 4MATIC Progressive
Mercedes-Benz,GLA,200 d Sport
Lexus,LM,350h 4 STR Ultra Luxury
Mercedes-Benz,S-Class,Maybach S 560
Mercedes-Benz,GLA,200d Urban Edition
Mercedes-Benz,S-Class,S 350d
Toyota,Innova Crysta,2.4 VX 7 STR [2016-2020]
Honda,BR-V,S Petrol
Ford,Ecosport,Titanium 1.5L Ti-VCT
Toyota,Innova Crysta,2.4 Z 7 STR
Hyundai,Elite i20,Sportz 1.2 (O)
Skoda,Octavia,Ambition 2.0 TDI AT
Hyundai,Grand i10,Asta AT 1.2 Kappa VTVT [2013-2016]
Mahindra,Thar,LX Hard Top Diesel AT 4WD [2023]
Maruti Suzuki,Alto 800,Vxi
BYD,Atto,3 Superior [2024-2025]
Mercedes-Benz,GLC,220d 4MATIC Progressive
Tata,Nexon,XZ Plus Diesel
Maruti Suzuki,Alto 800,Lxi (Airbag) [2012-2015]
Kia,Carnival,Limousine 7 STR
Mahindra,XUV500,W5 [2018-2020]
BMW,5-Series,530d M Sport [2017-2019]
Hyundai,Elite i20,Asta 1.2 (O) [2016]
Maruti Suzuki,Ciaz,Delta 1.4 MT
Maruti Suzuki,DZire,ZXi Plus
Toyota,Prado,VX L
Ford,Ecosport,Titanium 1.0 Ecoboost
Mercedes-Benz,GLA,200 d Sport
Mercedes-Benz,GLS,350 d
Maruti Suzuki,Ertiga,ZXi
Hyundai,Grand i10 Nios,Sportz AMT 1.2 Kappa VTVT
Kia,Seltos,GTX Plus 1.5 Diesel AT
Tata,Nexon,XMA
Tata,Nexon,XZA Plus (O) Diesel
Hyundai,Venue,SX 1.0 Turbo
Volkswagen,Tiguan,Highline TDI
BMW,3 Series,GT 320d Luxury Line [2014-2016]
Kia,Seltos,GTX Plus 1.5 Turbo Petrol DCT [2023-2024]
Renault,Triber,RXT
Volkswagen,Polo,GT
Maruti Suzuki,Ciaz,Alpha 1.4 AT
Hyundai,Venue,SX (O) 1.0 Turbo iMT
